City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tolanaro,-25.0319,46.9987,17.04,88,75,2.06,MG,1717975785
83,keflavik,64.0049,-22.5624,7.24,87,0,3.6,IS,1717975786
84,utrik,11.2278,169.8474,28.11,81,76,7.63,MH,1717975787
85,hawaiian paradise park,19.5933,-154.9731,28.73,64,20,4.63,US,1717975787
86,enewetak,11.3474,162.3373,28.38,83,93,7.41,MH,1717975788
87,ilulissat,69.2167,-51.1,7.01,70,75,3.6,GL,1717975789
88,sinabang,2.4803,96.3801,26.0,82,98,1.95,ID,1717975789
89,'anat al qadimah,34.4659,41.9331,32.92,13,17,5.56,IQ,1717975791
90,willows,39.5243,-122.1936,33.43,22,1,3.4,US,1717975792
91,guerrero negro,27.9769,-114.0611,20.14,63,6,8.04,MX,1717975632
92,ust-nera,64.5667,143.2,10.8,34,40,0.89,RU,1717975793
93,badger,64.8,-147.5333,27.22,25,75,0.0,US,1717975795
94,yambio,4.5721,28.3955,20.42,96,100,1.95,SS,1717975796
95,ushuaia,-54.8,-68.3,-2.19,86,0,1.54,AR,1717975741
96,bredasdorp,-34.5322,20.0403,10.12,91,12,1.26,ZA,1717975800
97,lihue,21.9789,-159.3672,30.58,63,0,6.69,US,1717975798
98,new norfolk,-42.7826,147.0587,7.72,65,21,1.49,AU,1717975804
99,whitehorse,60.7161,-135.0538,23.94,21,75,6.17,CA,1717975618
100,college,64.8569,-147.8028,27.27,25,75,0.89,US,1717975807
101,nar'yan-mar,67.6713,53.087,1.73,87,100,4.47,RU,1717975808
102,otra banda,18.6502,-68.6628,28.71,89,100,1.86,DO,1717975810
103,chonchi,-42.6128,-73.8092,8.56,90,66,2.4,CL,1717975811
104,zhuanghe,39.7008,122.9911,20.85,77,41,4.26,CN,1717975812
105,daru,-9.0763,143.2092,26.18,89,91,7.91,PG,1717975813
106,stanley,54.868,-1.6985,8.99,87,20,2.57,GB,1717975813
107,georgetown,5.4112,100.3354,26.96,88,40,2.06,MY,1717975348
108,phu ly,20.5411,105.9139,26.82,91,100,0.21,VN,1717975815
109,udachny,66.4167,112.4,16.92,34,89,4.45,RU,1717975816
110,darnah,32.767,22.6367,23.09,63,0,5.03,LY,1717975817
111,pamplona,42.8169,-1.6432,13.59,80,40,3.6,ES,1717975818
112,saipan,15.1355,145.701,31.39,66,40,7.2,MP,1717975819
113,sarkand,45.41,79.9186,21.51,44,17,3.06,KZ,1717975819
114,diawara,15.022,-12.5437,35.01,34,20,3.85,SN,1717975820
115,aasiaat,68.7098,-52.8699,1.52,96,85,3.45,GL,1717975821
116,sing buri,14.85,100.2333,28.38,77,100,4.46,TH,1717975821
117,homer,59.6425,-151.5483,13.94,53,75,6.17,US,1717975822
118,avarua,-21.2078,-159.775,25.03,53,20,3.09,CK,1717975823
119,kendari,-3.945,122.4989,26.29,82,81,0.95,ID,1717975823
120,dudinka,69.4058,86.1778,3.71,94,98,3.58,RU,1717975824
121,camarinas,43.1311,-9.1817,14.4,83,36,9.82,ES,1717975825
122,ouadda,8.0777,22.4007,21.75,84,100,1.04,CF,1717975826
123,howrah,22.5892,88.3103,30.0,89,40,3.6,IN,1717975827
124,odda,60.0691,6.5457,10.98,99,100,1.54,NO,1717975827
125,ballina,-28.8667,153.5667,17.1,68,31,3.64,AU,1717975828
126,gadzhiyevo,69.2551,33.3362,5.19,89,48,3.02,RU,1717975829
127,villamontes,-21.25,-63.5,19.36,60,59,0.98,BO,1717975830
128,ubari,26.5921,12.7805,28.88,9,0,3.19,LY,1717975831
129,trongsa,27.5026,90.5072,13.41,92,100,0.15,BT,1717975832
130,san patricio,28.017,-97.5169,33.42,60,14,7.58,US,1717975833
131,mudgee,-32.5943,149.5871,12.29,69,17,3.73,AU,1717975833
132,port augusta,-32.5,137.7667,16.91,43,100,4.16,AU,1717975834
133,broken hill,-31.95,141.4333,14.74,50,62,2.41,AU,1717975835
134,hobyo,5.3505,48.5268,26.04,81,71,11.32,SO,1717975836
135,colonia,50.9333,6.95,12.19,77,0,1.54,DE,1717975795
136,az zulfi,26.2995,44.8154,33.79,14,47,2.73,SA,1717975837
137,port alfred,-33.5906,26.891,15.85,61,0,3.56,ZA,1717975838
138,mana,5.6592,-53.7767,25.72,88,75,3.64,GF,1717975839
139,saynshand,44.8824,110.1163,24.2,23,95,6.2,MN,1717975840
140,silchar,24.8167,92.8,24.82,95,90,1.19,IN,1717975841
141,lovisa,60.4566,26.2251,7.94,85,7,4.75,FI,1717975841
142,wailua homesteads,22.0669,-159.378,30.24,70,0,6.69,US,1717975842
143,vilyuchinsk,52.9306,158.4028,17.15,76,97,3.39,RU,1717975843
144,zaragoza,41.6561,-0.8773,16.67,61,0,11.83,ES,1717975675
145,la'ie,21.6477,-157.9253,28.98,65,26,3.58,US,1717975844
146,holualoa,19.6228,-155.9522,26.97,68,40,4.63,US,1717975845
147,tazovsky,67.4667,78.7,2.7,76,99,3.28,RU,1717975846
148,afaahiti,-17.75,-149.2833,26.93,90,99,7.65,PF,1717975846
149,east ballina,-28.8667,153.5833,17.11,68,31,3.64,AU,1717975847
150,kapuskasing,49.4169,-82.4331,9.05,81,100,5.14,CA,1717975816
151,puerto ayora,-0.7393,-90.3518,23.08,96,73,0.89,EC,1717975848
152,kailua-kona,19.6406,-155.9956,29.6,70,40,4.63,US,1717975750
153,aykhal,66.0,111.5,20.15,32,86,3.32,RU,1717975850
154,illizi,26.4833,8.4667,31.89,7,0,4.11,DZ,1717975850
155,vorgashor,67.5833,63.95,2.11,96,100,3.16,RU,1717975851
156,ebensfeld,50.0664,10.9584,13.51,80,100,1.25,DE,1717975852
157,zouerate,22.7187,-12.4521,29.47,22,6,6.07,MR,1717975853
158,chos malal,-37.3781,-70.2709,8.14,69,4,2.73,AR,1717975853
159,ifon,6.9241,5.776,23.02,99,70,1.5,NG,1717975854
160,tafuna,-14.3358,-170.72,28.97,58,40,6.17,AS,1717975855
161,laihia,62.9761,22.0114,8.27,87,0,4.12,FI,1717975856
162,tejen,37.3834,60.5054,28.37,17,3,1.75,TM,1717975858
163,san sebastian de la gomera,28.0916,-17.1133,21.88,77,0,1.54,ES,1717975860
164,kayangel,8.0823,134.7173,28.93,75,96,2.77,PW,1717975862
165,prince rupert,54.3161,-130.3201,12.05,79,100,6.69,CA,1717975864
166,kuantan,3.8077,103.326,25.06,94,20,0.0,MY,1717975797
167,qaqortoq,60.7167,-46.0333,6.98,90,88,1.25,GL,1717975868
168,abaza,52.655,90.0928,14.51,96,72,0.59,RU,1717975870
169,jambi city,-1.6,103.6167,23.98,98,88,1.22,ID,1717975872
170,chegdomyn,51.1167,133.0167,12.99,94,100,0.51,RU,1717975873
171,myitkyina,25.3833,97.4,26.24,87,7,0.25,MM,1717975874
172,jamestown,42.097,-79.2353,13.34,96,100,8.23,US,1717975876
173,acapulco de juarez,16.8634,-99.8901,29.9,74,75,7.2,MX,1717975878
174,lionel town,17.8101,-77.2406,29.94,83,95,4.15,JM,1717975879
175,zhezqazghan,47.7833,67.7667,21.61,54,5,3.63,KZ,1717975880
176,thompson,55.7435,-97.8558,19.09,20,20,2.57,CA,1717975881
177,codrington,-38.2667,141.9667,9.03,73,86,3.91,AU,1717975882
178,atafu village,-8.5421,-172.5159,28.6,70,57,2.47,TK,1717975883
179,saldanha,-33.0117,17.9442,14.22,61,6,4.64,ZA,1717975884
180,bokovskaya,49.229,41.8306,19.36,73,33,1.15,RU,1717975885
181,songjianghe,42.1859,127.479,19.39,54,6,2.47,CN,1717975886
182,hadibu,12.65,54.0333,28.49,78,80,7.27,YE,1717975887
183,moires,35.0532,24.8744,25.68,35,0,0.89,GR,1717975888
184,quesnel,52.9999,-122.5029,22.28,35,20,3.09,CA,1717975890
185,kimbe,-5.5502,150.1429,31.53,62,86,0.88,PG,1717975891
186,tralee,52.2704,-9.7026,12.17,96,100,5.96,IE,1717975891
187,luena,-11.7833,19.9167,17.1,55,1,3.09,AO,1717975893
188,nemuro,43.3236,145.575,11.23,91,100,6.52,JP,1717975894
189,bay harbor,30.1471,-85.6146,31.04,69,0,5.66,US,1717975895
190,maralal,1.0968,36.698,14.03,87,57,1.18,KE,1717975896
191,alamosa,37.4695,-105.87,22.99,28,75,8.75,US,1717975896
192,piacabucu,-10.4056,-36.4344,24.53,84,21,3.6,BR,1717975898
193,la passe,45.5549,-0.8967,16.66,75,34,5.39,FR,1717975900
194,newnham,-41.3833,147.1333,3.15,93,0,0.0,AU,1717975901
195,iraquara,-12.2486,-41.6194,19.84,86,58,1.73,BR,1717975903
196,novodvinsk,64.4165,40.8122,7.1,88,5,2.7,RU,1717975904
197,bengkulu,-3.8004,102.2655,24.45,89,74,1.44,ID,1717975905
198,ada,43.4166,-116.1262,29.64,37,0,6.26,US,1717975689
199,cidreira,-30.1811,-50.2056,19.2,85,13,2.53,BR,1717975908
200,yaren,-0.5472,166.916,29.56,70,63,5.45,NR,1717975909
201,uturoa,-16.7333,-151.4333,25.77,81,88,6.66,PF,1717975911
202,geiro,-6.15,36.8667,13.31,83,20,2.14,TZ,1717975912
203,longyearbyen,78.2186,15.6401,1.91,75,75,5.14,SJ,1717975914
204,nova sintra,14.8667,-24.7167,23.78,81,0,9.06,CV,1717975915
205,alice springs,-23.7,133.8833,8.75,87,0,0.0,AU,1717975886
206,qamdo,31.1667,97.2333,11.05,54,18,1.1,CN,1717975917
